"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","BI0Dve","yYlJEf href","QuU3Wb","yYlJEf href 2","QuU3Wb 2","rllt__details 4","uDyWh"
"SKS Veterinary Hospital","· Animal hospital","4.4","(1.6K)","20+ years in business · Chennai, Tamil Nadu · 078680 70005","Open 24 hours","On-site services","http://www.skspethospital.com/","Website","https://www.google.com/maps/dir//Shop+No.198A,+SKS+Veterinary+Hospital,+Dev+Apartments,+basement,+St+Marys+Rd,+opp.+Luz+Church+Road,+Abiramapuram,+Chennai,+Tamil+Nadu+600018/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a5267c913a754d5:0xd3e3c66a57049ff0?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Veterinary Hospital","· Veterinary care","4.6","(16)","7+ years in business · Palakkad, Kerala","Closed","","","","https://www.google.com/maps/dir//WFRQ%2BFXM+Veterinary+Hospital,+Palakkad,+Kerala+678595/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba878ce179a5dbf:0x8128c927768445bb?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon","""Good service"""
"Veterinary Hospital Thenkurissi","· Animal hospital","3.6","(40)","7+ years in business · Koduvayur, Thenkurissi, Kerala","","","","","https://www.google.com/maps/dir//MJWM%2BHP8+Veterinary+Hospital+Thenkurissi,+Kuzhalmannam+Koduvayur+Rd,+Mahalikudam,+Koduvayur,+Thenkurissi,+Kerala+678671/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba872aea3498f51:0x3cedd38abf0852ef?sa=X&ved=1t:57443&ictx=111","Directions","","""Personalised care is provided"""
"Govt veterinary Hospital,Alandurai","· Hospital","","","XQ2J+5Q8","","","","","https://www.google.com/maps/dir//XQ2J%2B5Q8+Govt+veterinary+Hospital,Alandurai,+Coimbatore,+Tamil+Nadu+641101/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba867539be2b7a5:0x16c3a388a079c59d?sa=X&ved=1t:57443&ictx=111","Directions","",""
"ROYAL ANIMAL HOSPITAL, METTUPALAYAM","· Veterinarian","4.6","(143)","Mettupalayam, Tamil Nadu · 086087 23777","Closed","","","","https://www.google.com/maps/dir//ROYAL+ANIMAL+HOSPITAL,+METTUPALAYAM,+3%2FA1,+Co-operative+Colony+Main+Rd,+near+EB+office,+Mettupalayam,+Tamil+Nadu+641301/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8ef35006ce437:0x1d96229ab5bb883b?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""They saved my labrador who was poisoned last week."""
"Pet O Pet Veterinary Hospital","· Animal hospital","4.4","(311)","10+ years in business · Tiruchirappalli, Tamil Nadu · 073388 11666","Closed","On-site services","","","https://www.google.com/maps/dir//Pet+O+Pet+Veterinary+Hospital,+D43,+East,+8th+Cross+St,+West+Extension,+Thillai+Nagar,+Tiruchirappalli,+Tamil+Nadu+620018/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3baaf512c17f7ff3:0xa5edaf51193e54eb?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Government veterinary hospital","· Animal hospital","5.0","(1)","3+ years in business · Iduvai, Tamil Nadu","Closed","","","","https://www.google.com/maps/dir//37HP%2B6WJ+Government+veterinary+hospital,+Sri+kamachi+Amman+Kovil+St,+Iduvai,+Tamil+Nadu+641687/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba907bc3586840b:0xd2a495f6b9cd8a9c?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9:30 am Mon",""
"Govt Veterinary hospital,Pichanur","· Government hospital","","","Pichanur, Tamil Nadu","","","","","https://www.google.com/maps/dir//RWJ3%2BGF6+Govt+Veterinary+hospital,Pichanur,+Pichanur,+Tamil+Nadu+641032/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba843002962e0db:0x4b0b0db5997c45a3?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Veterinary Hospital, Ooty","· Hospital","1.3","(7)","Ooty, Tamil Nadu","","","","","https://www.google.com/maps/dir//CM5X%2BWF3+Veterinary+Hospital,+Ooty,+Veterinary+Hospital+Rd,+Ooty,+Tamil+Nadu+643001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8bd8f0c902021:0x8a8eb6fd793456a?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Government Veterinary Clinic","· Animal hospital","3.3","(14)","10+ years in business · 8W2Q+F87, Coimbatore Main Rd","Closed","","","","https://www.google.com/maps/dir//8W2Q%2BF87+Government+Veterinary+Clinic,+Coimbatore+Main+Rd,+Mettupalayam,+Tamil+Nadu+641301/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8eebfd53ce771:0x8aadb164194314e3?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Precise Pet Clinic","· Veterinarian","3.7","(287)","20+ years in business · Bengaluru, Karnataka · 099000 01562","","","","","https://www.google.com/maps/dir//Precise+Pet+Clinic,+%23485+%26+%23485%2FA,+8th+Cross,+Jeevan+Bheema+Nagar+Main+Road,+near+Miranda+School,+HAL+3rd+Stage,+Bengaluru,+Karnataka+560075/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae140047fdddff:0x88194df4e78ef29e?sa=X&ved=1t:57443&ictx=111","Directions","","""Saved my dog from Cessna's crazy advice to remove both ears."""
"veterinary Hospital","· Animal hospital","4.5","(2)","7+ years in business · Tiruppur","","","","","https://www.google.com/maps/dir//5C84%2B32H+veterinary+Hospital,+Cauvery+Nagar,+Morattupalayam+(po),+Uthukuli+(tk),+Tiruppur,+638752/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba908cb30f625bd:0x946e31c2c6d219?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Veterinary Hospital Ettimadai","· Animal hospital","","","5+ years in business · Kandhe Gounden Chavadi, Tamil Nadu","","","","","https://www.google.com/maps/dir//Veterinary+Hospital+Ettimadai,+Kandhe+Gounden+Chavadi,+Tamil+Nadu+641105/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85d24462a5d9d:0x44894adb45a36d61?sa=X&ved=1t:57443&ictx=111","Directions","",""
"GOVERNMENT VETERINARY HOSPITAL","· Animal hospital","4.3","(3)","5+ years in business · North Avanashipalayam, Tamil Nadu","Closed","","","","https://www.google.com/maps/dir//GOVERNMENT+VETERINARY+HOSPITAL,+vellampatti,+North+Avanashipalayam,+Tamil+Nadu+641665/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba9a7b86484fa81:0xc78355287c0c38cf?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Good response"""
"Govt Veterinary hospital,Sokkanur","· Government hospital","","","Sokunoor, Tamil Nadu","","","","","https://www.google.com/maps/dir//RW5X%2BWPJ+Govt+Veterinary+hospital,Sokkanur,+Sokkanur+Rd,+Sokunoor,+Tamil+Nadu+642109/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8450023f72e61:0xda2e69fdb507b3e3?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Govt Veterinary hospital,Sokkanur","· Government hospital","","","Sokunoor, Tamil Nadu","No reviews","","","","https://www.google.com/maps/dir//RW5X%2BWPJ+Govt+Veterinary+hospital,Sokkanur,+Sokkanur+Rd,+Sokunoor,+Tamil+Nadu+642109/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8450023f72e61:0xda2e69fdb507b3e3?sa=X&ved=1t:57443&ictx=111","","",""
"VET MED Pet Hospital And Surgical Center","· Veterinarian","4.7","(75)","5+ years in business · Tiruppur, Tamil Nadu · 080567 35353","Closed","","https://vetmedpethospitalandsurgicalcenter.business.site/?utm_source=gmb&utm_medium=referral","Website","https://www.google.com/maps/dir//VET+MED+Pet+Hospital+And+Surgical+Center,+Krishna+Nagar,+2nd+right,+opposite+to+vivekanandha+school,+K+Chettipalayam,+Tiruppur,+Tamil+Nadu+641604/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba9a71800541951:0xd198deafc69b3906?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Dr. Ramanathan sir and his staff are extremely nice and knowledgeable."""
"Eshwar Animal Hospital & Surgical Centre","· Veterinarian","4.9","(41)","Tiruppur, Tamil Nadu","Closed","","","","https://www.google.com/maps/dir//Eshwar+Animal+Hospital+%26+Surgical+Centre,+Shop+no+4+,+paradise+shopping+centre,+HRHK+nagar,+Mangalam+Rd,+pirivu,+Periyandipalayam,+Tiruppur,+Tamil+Nadu+641687/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba9077c1b305557:0x95a59658d9c9c7f1?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9:30 am Mon","""Good service with low fees and pet foods and accessories quality are good."""
"The Bai Sakarbai Dinshaw Petit Hospital for Animals","· Animal hospital","3.8","(3.9K)","70+ years in business · Mumbai, Maharashtra · 085916 59398","Open 24 hours","On-site services","http://www.bombayspca.org/","Website","https://www.google.com/maps/dir//The+Bai+Sakarbai+Dinshaw+Petit+Hospital+for+Animals,+Dr+SS+Rao+Marg,+near+Gandhi+Hospital,+Parel+East,+Parel,+Mumbai,+Maharashtra+400012/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7cef795555555:0x3b13a478ac5cbaf6?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Sanchu Animal Hospital | Velachery, Chennai","· Animal hospital","4.4","(1.1K)","5+ years in business · Chennai, Tamil Nadu · 078258 81525","Open","On-site services","https://veterinary-hospital.sanchuanimalhospital.com/sanchu/animal-hospital-in-chennai/animal-hospital-in-velachery/sanchu-animal-hospital-in-velachery-chennai--60a9aac5-8171-4cf4-9b89-61a9a3d1d984/home","Website","https://www.google.com/maps/dir//Door+No.44%2F1,+Sanchu+Animal+Hospital+%7C+Velachery,+Chennai,+Taramani+Link+Rd,+opp.+to+Vijayanagar+Bus+stand,+Sarathy+Nagar,+Velachery,+Chennai,+Tamil+Nadu+600042/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525df393790cb1:0x2be32be100e5fc10?sa=X&ved=1t:57443&ictx=111","Directions","· Closes 6 am Mon",""
"Vetcare Pet Clinic","· Animal hospital","4.9","(12)","3+ years in business · Kalampalayam, Tamil Nadu · 094880 49251","Closed","","","","https://www.google.com/maps/dir//Vetcare+Pet+Clinic,+near+Happy+Textiles,+Kalampalayam,+Tamil+Nadu+641666/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba90786c31c6353:0x9cf70b6557905558?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 6 pm Mon","""Good service with reasonable consultation fee in North part of tiruppur"""
"Vallalar Hospital","· General hospital","3.4","(83)","Marudhamalai Rd · 0422 245 0693","Open 24 hours","","","","https://www.google.com/maps/dir//Vallalar+Hospital,+Marudhamalai+Rd,+Mullai+Nagar,+P+N+Pudur,+Tamil+Nadu+641041/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85f2d9dbcdc1f:0xfc06e6b6b2c8205e?sa=X&ved=1t:57443&ictx=111","Directions","","""Very good treatment normal charge for children and adults"""
"Global animal hospital","· Animal hospital","3.5","(610)","7+ years in business · Secunderabad, Telangana · 040 2779 0514","Open 24 hours","","","","https://www.google.com/maps/dir//Global+animal+hospital,+142,+Surya+Enclave+Rd+No.+3,+Tirumalagiri,+Secunderabad,+Telangana+500015/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bcb9a59095c7863:0xd086d7a2bcca6eed?sa=X&ved=1t:57443&ictx=111","Directions","","""They handled my dog with so much love and patience throughout the process."""
"Government","· Hospital","","","2WG5+XJF, 13th St","","","","","https://www.google.com/maps/dir//2WG5%2BXJF+Government,+13th+St,+V.N.R.Nagar,+Vadavalli,+Tamil+Nadu+641041/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85fe585600323:0x9d9a9b43261e6341?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Pet's Care Super Specialty Hospital - Jubilee Hills","· Animal hospital","4.2","(1.4K)","10+ years in business · Rai Durg, Hyderabad, Telangana · 091543 60526","Open 24 hours","On-site services","https://petscarehospital.com/","Website","https://www.google.com/maps/dir//3,+B,+Pet's+Care+Super+Specialty+Hospital+-+Jubilee+Hills,+H.No.+5-109,+opp.+JRC+Convention+%26,+Whisper+Valley,+Jubilee+Hills,+Rai+Durg,+Hyderabad,+Telangana+500033/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bcb976b2d865c5d:0xb68273bad15e490?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Govt veterinary hospital uthandiyur","· Veterinary pharmacy","5.0","(1)","Uthandiyur, Tamil Nadu","","","","","https://www.google.com/maps/dir//F5FH%2BRGG+Govt+veterinary+hospital+uthandiyur,+Uthandiyur+Rd,+Uthandiyur,+Tamil+Nadu+638402/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8dfe742517819:0x425d331cb0be382?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Office Of Deputy Director AH Cattle Breeding And Fodder Development","· Veterinary care","4.2","(5)","10+ years in business · XXW7+827, Ismail St","Closed","","","","https://www.google.com/maps/dir//XXW7%2B827+Office+Of+Deputy+Director+AH+Cattle+Breeding+And+Fodder+Development,+Ismail+St,+Town+Hall,+Coimbatore,+Tamil+Nadu+641001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8590a3f31b645:0x65b7f379e1887063?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Government Veterinary hospital,Kethanur","· Hospital","","","Kethanur, Tamil Nadu","","","","","https://www.google.com/maps/dir//W778%2BPMC+Government+Veterinary+hospital,Kethanur,+Udumalaipettai+Rd,+Kethanur,+Tamil+Nadu+641671/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba9ad64a93a53b1:0xe6e358f075f56a73?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Vedha Medical Agency (Veterinary Medicine and Pet Medicine)","· Veterinary pharmacy","4.4","(28)","1/387-Z1 Krishna Gounder Nagar, Irugur Rd","Closed","Delivery","","","https://www.google.com/maps/dir//Vedha+Medical+Agency+(Veterinary+Medicine+and+Pet+Medicine),+1%2F387-Z1+Krishna+Gounder+Nagar,+Irugur+Rd,+Chinniyampalayam,+Coimbatore,+Tamil+Nadu+641062/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba857eec4c67abd:0x633120f7ca642251?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Vet Spot The Animal Hospital-Emergency service Regular body checkup Deworming - Surgeries -Critical care unit-Tick bathing","· Veterinarian","4.7","(412)","3+ years in business · Hyderabad, Telangana · 081793 88179","Open 24 hours","On-site services","","","https://www.google.com/maps/dir//3-8%2F1,+Vet+Spot+The+Animal+Hospital-Emergency+service+Regular+body+checkup+Deworming+-+Surgeries+-Critical+care+unit-Tick+bathing,+3-8,+Plot+No,+471Vivekananda+nagar,+Kukatpally,+Hyderabad,+Telangana+500072/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bcb913658950773:0x8897a83e710cf65c?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Kriya Petcare Clinic","· Animal hospital","4.2","(119)","7+ years in business · Tiruppur, Tamil Nadu · 070944 94444","Closed","","","","https://www.google.com/maps/dir//Kriya+Petcare+Clinic,+60+Feet+Rd,+Kumar+Nagar,+Tiruppur,+Tamil+Nadu+641603/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba90654684e21b9:0x2e5e9b5518fff2ee?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Experienced doctors!"""
"SANA ANIMAL HOSPITAL","· Animal hospital","4.0","(108)","10+ years in business · Tiruppur, Tamil Nadu · 072009 17740","Closed","On-site services","https://sanaanimalhospital.lyzoo.co.in/","Website","https://www.google.com/maps/dir//SANA+ANIMAL+HOSPITAL,+No:287,+Dr+Radhakrishnan+Nagar,+opp.+to+Ramdev+Hardwares,+Pitchampalayam+Pudur,+Tiruppur,+Tamil+Nadu+641603/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba9070901bc9ce9:0x1d87ba445b057dd1?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon",""
"Ranga Hospital","· Hospital","3.2","(48)","2WHJ+HR4, Thadagam Main Rd, near Avila Convent School · 082200 07251","Open 24 hours","","","","https://www.google.com/maps/dir//2WHJ%2BHR4+Ranga+Hospital,+Thadagam+Main+Rd,+near+Avila+Convent+School,+Velandipalayam,+Tamil+Nadu+641025/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8585605ea63b7:0x726f1b80e7c2a96a?sa=X&ved=1t:57443&ictx=111","Directions","","""This  hospital very useful treatment good , medicines charges high ."""
"Universal pet care hospital","· Veterinarian","4.5","(184)","3+ years in business · Tamil Nadu · 083001 77556","Closed","","","","https://www.google.com/maps/dir//Universal+pet+care+hospital,+7c+Thiruvalluvar+thottam,+karuvampalayam+Old+orchid+nursery+school+building,+rotary+mahal+backside,+Tamil+Nadu+641604/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba90715a4f1a1f3:0x5e5ac4b781a499ce?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Experienced doctors with kind support and care"""
"Pet Doctor Veterinary Clinic and Pet care","· Animal hospital","5.0","(46)","Pollachi, Tamil Nadu","Closed","","","","https://www.google.com/maps/dir//Pet+Doctor+Veterinary+Clinic+and+Pet+care,+Kerala+samajam,+Sri+Sri+Plaza,+bus+stop,+30%2F1,+Palladam+Road,+opposite+to+BEA,+Pollachi,+Tamil+Nadu+642002/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8579de2f1d855:0x8ea7c3ec88d1264f?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 4:30 pm Mon","""Cared our dog like a baby ,explained everything clearly."""
"Cartman Animal Hospital","· Animal hospital","4.3","(1.3K)","10+ years in business · CA-18, 17D Main, 6th Block, Koramangala, behind Koramangala Club · 091088 05001","· Opens 10 am Mon","On-site services","https://www.cartmanhospital.in/","","https://www.google.com/maps/dir//Cartman+Animal+Hospital,+CA-18,+17D+Main,+6th+Block,+Koramangala,+behind+Koramangala+Club,+Bengaluru,+Karnataka+560095/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae14438cbef6ed:0xf849ff69155de657?sa=X&ved=1t:57443&ictx=111","Website","Closed",""
"ROYAL ANIMAL HOSPITAL 15 VELAMPALAYAM","· Animal hospital","4.3","(35)","3+ years in business · Swarnapuri Avenue, SF NO.277, DR junction · 086086 23777","Closed","","","","https://www.google.com/maps/dir//ROYAL+ANIMAL+HOSPITAL+15+VELAMPALAYAM,+Swarnapuri+Avenue,+SF+NO.277,+DR+junction,+Tiruppur,+Tamil+Nadu+641652/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba907b4865f5719:0x13cf6078a1a1c85d?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Neat and clean service."""
"MDM Pet Clinic","· Veterinarian","2.9","(16)","1299, Thadagam Main Rd, opp. Milk Company · 097502 92910","Temporarily closed","","","","https://www.google.com/maps/dir//MDM+Pet+Clinic,+1299,+Thadagam+Main+Rd,+opp.+Milk+Company,+R.S.+Puram,+Coimbatore,+Tamil+Nadu+641002/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8591ecfd55fab:0xa95ac0ccd43c726b?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Tamil Nadu Kalnadai Paramaripu Thurai","· Animal hospital","3.0","(5)","2XMC+V3J, Sanganoor Rd","Temporarily closed","","","","https://www.google.com/maps/dir//2XMC%2BV3J+Tamil+Nadu+Kalnadai+Paramaripu+Thurai,+Sanganoor+Rd,+Rayappa+Nagar,+Ganapathy,+Coimbatore,+Tamil+Nadu+641006/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8585ddfe895ff:0x2155b94e533a4ee8?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Devarayapuram Veterinary Hospital","· Animal hospital","","","XRW7+X6P","Temporarily closed","","","","https://www.google.com/maps/dir//XRW7%2BX6P+Devarayapuram+Veterinary+Hospital,+Devarayapuram,+Coimbatore,+Tamil+Nadu+641109/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8610003d17a25:0x5e846320dc4f7d3e?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Veterinary Hospital","· Animal hospital","5.0","(2)","94XC+Q87","Temporarily closed","","","","https://www.google.com/maps/dir//94XC%2BQ87+Veterinary+Hospital,+Periyakallipatti,+Tamil+Nadu+641302/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8e176eabc6bf3:0x56b534188ba8932a?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Veterinary hospital Kattampatti","· Animal hospital","4.5","(2)","R45W+CMJ, Tiruppur Rd","Temporarily closed","","","","https://www.google.com/maps/dir//R45W%2BCMJ+Veterinary+hospital+Kattampatti,+Tiruppur+Rd,+Kattampatti,+Tamil+Nadu+642202/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba84dcb31e53d5f:0xaacbda36818679f6?sa=X&ved=1t:57443&ictx=111","Directions","",""
"VET MED Pet Hospital And Surgical Center","· Veterinarian","4.7","(75)","5+ years in business · Tiruppur, Tamil Nadu · 080567 35353","· Opens 9 am Mon","","https://vetmedpethospitalandsurgicalcenter.business.site/?utm_source=gmb&utm_medium=referral","Schedule","https://www.google.com/maps/dir//VET+MED+Pet+Hospital+And+Surgical+Center,+Krishna+Nagar,+2nd+right,+opposite+to+vivekanandha+school,+K+Chettipalayam,+Tiruppur,+Tamil+Nadu+641604/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba9a71800541951:0xd198deafc69b3906?sa=X&ved=1t:57443&ictx=111","Website","Closed","""Dr. Ramanathan sir and his staff are extremely nice and knowledgeable."""
"Sanchu Animal Hospital | Velachery, Chennai","· Animal hospital","4.4","(1.1K)","5+ years in business · Chennai, Tamil Nadu · 078258 81525","Open","On-site services","https://veterinary-hospital.sanchuanimalhospital.com/sanchu/animal-hospital-in-chennai/animal-hospital-in-velachery/sanchu-animal-hospital-in-velachery-chennai--60a9aac5-8171-4cf4-9b89-61a9a3d1d984/home","Website","https://www.google.com/maps/dir//Door+No.44%2F1,+Sanchu+Animal+Hospital+%7C+Velachery,+Chennai,+Taramani+Link+Rd,+opp.+to+Vijayanagar+Bus+stand,+Sarathy+Nagar,+Velachery,+Chennai,+Tamil+Nadu+600042/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3a525df393790cb1:0x2be32be100e5fc10?sa=X&ved=1t:57443&ictx=111","Directions","· Closes 6 am Mon",""
"SANA ANIMAL HOSPITAL","· Animal hospital","4.0","(108)","10+ years in business · Tiruppur, Tamil Nadu · 072009 17740","Closed","On-site services","https://sanaanimalhospital.lyzoo.co.in/","Website","https://www.google.com/maps/dir//SANA+ANIMAL+HOSPITAL,+No:287,+Dr+Radhakrishnan+Nagar,+opp.+to+Ramdev+Hardwares,+Pitchampalayam+Pudur,+Tiruppur,+Tamil+Nadu+641603/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba9070901bc9ce9:0x1d87ba445b057dd1?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon",""
"Cartman Animal Hospital","· Animal hospital","4.3","(1.3K)","10+ years in business · Bengaluru, Karnataka · 091088 05001","Closed","On-site services","https://www.cartmanhospital.in/","Website","https://www.google.com/maps/dir//Cartman+Animal+Hospital,+CA-18,+17D+Main,+6th+Block,+Koramangala,+behind+Koramangala+Club,+Bengaluru,+Karnataka+560095/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae14438cbef6ed:0xf849ff69155de657?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon",""
